title,year,length,budget,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
20 Years of Madness,2015,90,,8.5,31,,0,0,1,1,1,0,0
20 ans d'cart,2013,92,,6.4,5670,,0,0,1,0,0,1,0
20 aos no es poco. Cambalache Jazz Club,2006,48,,7.4,10,,0,0,0,0,0,0,0
20 centmetros,2005,112,,6.7,1522,,0,0,1,0,0,0,0
20 dana na Tibetu,2012,71,,8,16,,0,0,0,0,1,0,0
20 gynaikes ki ego!,1973,98,,5.6,90,,0,0,1,0,0,0,0
20 minutes de bonheur,2008,100,,7.7,6,,0,0,0,0,1,0,0
20 novembre,2003,26,,7.9,7,,0,0,0,1,0,0,1
20 nuits et un jour de pluie,2006,85,,4.3,115,,0,0,0,1,0,0,0
20 sigaret,2007,90,1500000,5.7,122,,1,0,1,1,0,0,0
20 sigarette,2010,94,,6.6,606,,0,0,0,1,0,0,0
20,000 Cheers for the Chain Gang,1933,20,,5.6,4.5,,0,0,1,0,0,0
20,000 Days on Earth,2014,97,,7.5,14.5,,0,0,0,1,1,0
20,000 Employees Entering Lord Armstrong's Elswick Works, Newcastle-upon-Tyne,1900,3,,4.5,4.5,,0,0,0,0,1
20,000 Eyes,1961,61,60000,6.2,0,,0,0,0,1,0,0
20,000 Leagues Under the Sea,1916,105,200000,7.1,24.5,,1,0,0,0,0,0
20,000 Leagues Under the Sea,1954,127,5000000,7.2,4.5,,0,0,0,1,0,0
20,000 Leagues Under the Sea,1973,60,,6.2,14.5,,0,1,0,0,0,0
20,000 Leagues Under the Sea,1985,50,,6.6,24.5,,0,1,0,1,0,0
20,000 Men a Year,1939,84,,7.2,14.5,,1,0,0,1,0,1
20,000 Miles on a Horse,2007,109,,8.2,34.5,,0,0,0,0,1,0
20,000 Reasons,2016,80,,5.6,24.5,,0,0,1,0,0,1
20,000 Years in Sing Sing,1932,78,,7.1,14.5,,0,0,0,1,0,0
20,000 dlares por un cadver,1971,81,,4.5,4.5,,0,0,0,0,0,0
20,13,2006,114,,6.9,14.5,,0,0,0,1,0,0
20-20 Hindsight,2007,7,,7.7,7,,0,0,0,0,0,0,1
20-seiki nosutarujia,1997,93,,6.5,33,,0,0,0,0,0,0,0
20-seiki shnen: Dai 2 sh - Saigo no kib,2009,139,20000000,6.5,1207,,0,0,0,1,0,0,0
20-seiki shnen: Honkaku kagaku bken eiga,2008,142,20000000,6.7,2018,,0,0,0,0,0,0,0
20-seiki shnen: Saish-sh - Bokura no hata,2009,156,,6.6,786,,0,0,0,0,0,0,0
20.000 Besos,2013,91,,5.8,366,,0,0,1,0,0,0,0
20.000 dollari sul 7,1968,91,,4.3,26,,0,0,0,0,0,0,0
20/20 Vision,1999,20,,5.6,10,,0,0,1,0,0,0,1
20/68: Schatzi,1968,2,,5.5,14,,0,0,0,0,0,0,1
200,1975,3,,6.8,22,,0,1,0,0,0,0,1
200 American,2003,84,,5.4,727,,0,0,1,1,0,1,0
200 Cartas,2013,98,1000000,7.3,332,,0,0,1,0,0,1,0
200 Cigarettes,1999,101,6000000,5.9,13003,R,0,0,1,1,0,1,0
200 Km.,2003,94,,8,8,,0,0,0,0,1,0,0
200 Motels,1971,98,679000,5.9,1565,,0,0,1,0,0,0,0
200 Years of Australian Cricket History,1987,53,,6.1,10,,0,0,0,0,1,0,0
2000,1999,29,,5.8,6,,0,0,0,0,1,0,1
2000 & 1 Night,2002,46,350000,8.6,9,,0,0,0,0,1,0,0
2000 + 1 stigmes,2000,75,,8.6,20,,0,0,0,1,0,0,0
2000 Nordestes,2001,70,,6.8,44,,0,0,0,0,1,0,0
2000 Terrorists,2004,50,,8.7,16,,0,0,0,0,1,0,0
2000 Years Later,1969,80,,7,21,,0,0,1,0,0,0,0
2000 naftes ki ena koritsi,1960,73,,4.1,25,,0,0,1,0,0,1,0
20000 lieues sous les mers,1907,10,,6.1,222,,0,0,0,0,0,0,1
200000 fantmes,2007,10,,7.6,53,,0,0,0,0,0,0,1
2000: Dokumentalna fantastika,2008,7,,7.9,13,,0,0,1,0,0,0,1
2001 Maniacs,2005,87,3000000,5.4,10357,R,0,0,1,0,0,0,0
2001 Maniacs: Field of Screams,2010,84,,3.2,1872,R,0,0,1,0,0,0,0
2001 Yonggary,1999,99,,2.5,1347,PG-13,1,0,0,0,0,0,0
2001 toivetta,2000,4,,4.4,5,,0,0,0,1,0,0,1
2001: A Space Odyssey,1968,149,12000000,8.3,426445,,0,0,0,0,0,0,0
2001: A Space Odyssey - A Look Behind the Future,1966,23,,6.9,13,,0,0,0,0,1,0,1
2001: A Space Travesty,2000,99,45000000,3.3,9594,R,0,0,1,0,0,0,0
2001: Do Hazaar Ek,1998,149,,3.9,76,,0,0,0,1,0,0,0
2002,2001,94,,6.3,534,,1,0,1,0,1,1,0
2002: The Rape of Eden,1994,90,,4.3,46,,1,0,1,1,0,0,0
2004 (Dois mil e quatro),2011,5,,4.7,9,,0,1,0,0,0,0,1
2004, One Year Later,2006,36,,8.5,84.5,,0,0,0,0,0,0
2008-nen, imadoki Japanzu yo. Ai to heiwa to rikai o shinjirukai?,2008,104,,7.2,24.5,,0,0,1,0,0,0
2009 loseuteu maemorijeu,2002,136,7000000,6.2,2973,R,1,0,0,1,0,0,0
2010,1984,116,28000000,6.8,41337,,0,0,0,0,0,0,0
2010,2006,28,,6.5,46,,0,0,0,1,0,0,1
2010: The Odyssey Continues,1984,18,,6.3,287,,0,0,0,0,1,0,1
2012,2011,5,1200,5.8,20,,1,0,1,1,0,0,1
2012 Baltimore Ravens: Super Bowl XLVII Champions,2013,74,,7.7,6,,0,0,0,0,1,0,0
2012 Countdown,2012,97,,7.6,21,,0,0,1,0,0,0,0
2012 Crossing Over: A New Beginning,2012,93,,8.3,288,,0,0,0,0,1,0,0
2012... and the Earth Was No More: Revelations, Lost Civilizations, Fall of the Aztec Empire, Mayan Calendar, the Serpent Returns,2009,14.5,4.5,0,45.5,,0,0,0
2012: Kurse a di Xtabai,2012,80,,5.4,12,,0,0,1,0,0,0,0
2012: Science or Superstition,2009,78,,5.2,171,,0,0,0,0,1,0,0
2012: The Beginning,2012,52,,8.6,17,,0,0,0,0,1,0,0
2012: The Odyssey,2007,99,,4.7,11,,0,0,0,0,1,0,0
2012: The True Mayan Prophecy,2010,50,,7.5,8,,0,0,0,0,1,0,0
2012: Time for Change,2010,85,,7.1,306,,0,1,0,0,1,0,0
2012: We're Already in It,2009,85,100000,9.4,12,,0,0,0,0,1,0,0
2013,2012,2,,7.5,10,,0,0,0,0,0,0,1
2013 - The New World,2011,21,0,7.5,13,,0,0,0,0,0,0,1
2013 Menos 1,2012,73,,6.7,13,,0,0,1,0,0,0,0
2014,2014,109,,7.2,24,,0,0,0,0,0,0,0
2015,1996,15,,5.3,10,,0,0,0,0,0,0,1
2016: Obama's America,2012,87,2500000,5.1,8974,PG,0,0,0,0,1,0,0
2019 - Dopo la caduta di New York,1983,96,,5.7,1860,,1,0,0,0,0,0,0
2020,2013,16,,8.8,12,,1,0,0,1,0,0,1
2022 Tsunami,2009,90,4000000,2.8,148,,1,0,0,0,0,0,0
2027: Le dpart,2008,18,,7.1,26,,0,0,0,0,0,0,1
203 kochi,1980,185,,6.8,114,,0,0,0,1,0,0,0
2033,2009,100,5000000,4.2,285,,0,0,0,0,0,0,0
2037,2015,12,,6.2,16,,0,0,1,0,0,0,1
2038: El futuro de ellas,2008,20,,7,32,,1,0,0,0,0,0,1
2045 Carnival Folklore,2015,93,,1.7,37,,0,0,0,1,0,0,0
2046,2004,129,12000000,7.5,41461,R,0,0,0,1,0,1,0
2047: Sights of Death,2014,89,,2.5,1046,,1,0,0,0,0,0,0
204: Getting Away with Murder,2014,109,,7.9,14,,0,0,0,0,1,0,0
205 - Zimmer der Angst,2011,104,,5.2,522,,0,0,0,1,0,0,0
2056 Escape from Zombie Island,2012,80,50000,6.4,9,,1,0,0,0,0,0,0
2069 A.D.,1969,75,,5.7,14,,0,0,1,0,0,0,0
2076 Olympiad,1977,90,,6.5,8,,0,0,1,0,0,0,0
208,2005,14,6000,8.4,12,,0,0,0,1,0,0,1
2081,2009,25,,7.1,2037,,1,0,0,0,0,0,1
2084,2009,83,150000,5.4,108,,0,0,0,0,0,0,0
2084,2012,4,,8.7,13,,0,0,0,0,0,0,1
2084,2015,4,0,6,18,,0,0,1,0,0,0,1
2084: Video clip pour une rflexion syndicale et pour le plaisir,1984,10,,6.9,173,,0,0,0,0,1,0,1
209,2013,10,10000,7.1,7,,0,0,0,1,0,0,1
2090,1996,91,,6.4,21,,0,0,0,0,0,0,0
20Zwoelf,2013,4,,6.4,5,,0,0,0,1,0,0,1
20h17 rue Darling,2003,101,,7,308,,0,0,0,1,0,0,0
20min Walk from Nishi-Ogikubo Station, 2 Bedrooms, Living Room, Dining Room, Kitchen, 2mos Deposit,4.5,4.5,34.5,14.5,14.5,24.5,,0
20q,2007,35,,8.1,14,,0,0,1,0,0,0,1
20th Century Boy,2009,92,2000,6.3,20,,0,0,1,0,0,0,0
20th Century Man,2012,14,,7,21,,0,0,0,1,0,1,1
21,2000,105,,7.2,44,,0,0,1,1,0,1,0
21,2008,123,35000000,6.8,191309,PG-13,0,0,0,1,0,0,0
21 & Over,2013,93,13000000,5.9,60288,R,0,0,1,0,0,0,0
21 Below,2009,91,,7.7,31,,0,0,0,0,1,0,0
21 Brothers,2011,96,4000000,5.1,77,,0,0,0,1,0,0,0
21 Carbs,2005,15,,8.4,22,,0,0,1,0,0,0,1
21 Days,1940,72,,6.3,549,,0,0,0,1,0,0,0
21 Days,2004,91,,4.7,7,,0,0,0,0,1,0,0
21 Days,2014,89,,6.8,47,,0,0,0,0,0,0,0
21 Days Under the Sky,2016,70,,6.8,104,,0,0,0,0,1,0,0
21 Grams,2003,124,20000000,7.7,189476,R,0,0,0,1,0,0,0
21 Hump Street,1988,85,,6.5,15,,0,0,0,0,0,0,0
21 Jump Street,2012,109,42000000,7.2,407541,R,1,0,1,0,0,0,0
21 Up,1977,100,,8.2,1752,,0,0,0,0,1,0,0
21 Years: Richard Linklater,2014,78,,6.6,384,,0,0,0,0,1,0,0
21 and a Wake-Up,2009,123,3000000,6.4,96,R,0,0,0,1,0,0,0
21 tapaa pilata avioliitto,2013,89,,6.3,1494,,0,0,1,0,0,0,0
21-87,1964,10,,7.1,335,,0,0,0,0,1,0,1
21.12.2012 Konets sveta,2012,16,,6.6,8,,0,0,1,0,0,0,1
210 Killer,2012,19,2500,7.2,22,,0,0,0,1,0,0,1
2103: The Deadly Wake,1997,100,,3.3,308,,0,0,0,1,0,0,0
211: Anna,2009,89,,8,31,,0,0,0,0,1,0,0
216 Stitches,2009,19,0,7.1,10,,0,0,0,1,0,0,1
216 mois,2013,25,,6.5,13,,0,0,0,1,0,0,1
21:12 piano bar,1981,103,,6.4,7,,0,0,0,0,0,0,0
21h11,2005,15,,6,6,,0,0,0,1,0,0,1
21st Century Jet: The Building of the 777,1996,285,,8.1,21,,0,0,0,0,1,0,0
22 After,2014,97,3000,7.8,6,,0,0,0,1,0,0,0
22 Female Kottayam,2012,120,,7.4,1289,,0,0,0,1,0,1,0
22 Jump Street,2014,112,50000000,7.1,257471,R,1,0,1,0,0,0,0
22 June 1897,1979,121,,8.1,40,,0,0,0,1,0,0,0
22 iyunya, rovno v 4 chasa,1992,98,,6.5,14.5,,0,0,0,1,0,0
22 mei,2010,88,,6,597,,0,0,0,1,0,0,0
22 minuty,2014,120,,5.4,393,,1,0,0,0,0,0,0
22 sai no wakare - Lycoris: Ha mizu hana mizu monogatari,2006,119,,7.1,17,,0,0,0,1,0,0,0
22.12.2012 Posle kontsa sveta,2012,69,,4.8,11,,0,0,1,0,0,0,0
225,2010,8,,6,5,,0,0,0,1,0,1,1
226,1989,114,,7,91,,1,0,0,1,0,0,0
226-1690,1984,23,,6.6,9,,0,0,0,0,1,0,1
22:22,2013,19,,6.3,26,,0,0,0,0,0,0,1
22:43,2010,93,,7.9,12,,0,0,0,0,0,0,0
22weeks,2009,28,,6.3,31,,0,0,0,1,0,0,1
23,1998,100,,7.3,5612,,0,0,0,1,0,0,0
23,2000,8,,7.9,27,,0,0,0,0,0,0,1
23,2006,8,0,5.3,6,,0,0,1,0,0,0,1
23,2010,104,3000,7.2,130,,1,0,1,0,0,0,0
23 -- Skidoo,1930,9,,5.1,42,,0,0,1,0,0,0,1
23 1/2 Hours Leave,1937,72,,4.6,23,,0,0,1,0,0,0,0
23 Blast,2014,98,1000000,6.3,970,PG-13,0,0,0,1,0,0,0
23 Degrees, 5 Minutes,2011,10,,5.9,4.5,,0,1,0,0,0,0
23 Hours,2000,86,,8,32,,1,0,0,0,0,0,0
23 Hours,2013,5,,8.4,9,,0,0,1,0,0,0,1
23 Kilometres,2015,82,,6.8,6,,0,0,0,1,1,0,0
23 Minutes to Sunrise,2012,79,,4.1,480,,0,0,0,1,0,0,0
23 Paces to Baker Street,1956,103,,7,1152,,0,0,0,0,0,0,0
23 Skidoo,1965,8,,7.2,57,,0,0,0,0,0,0,1
23 Tage - Das YouTube Fan-Tagebuch,2008,50,,7.5,8,,0,0,0,0,1,0,0
23/69: Underground Explosion,1969,5,,7,11,,0,0,0,0,0,0,1
235 000 000,1967,108,,7.4,15,,0,0,0,0,1,0,0
237,2000,12,,5.1,27,,0,0,0,0,0,0,1
23:58,1995,84,,7.2,16,,0,0,0,0,0,0,0
23:59,2011,78,600000,4.9,440,R,0,0,0,0,0,0,0
23rd March 1931: Shaheed,2002,188,,5.1,473,,0,0,0,1,0,0,0
23rd Psalm Branch: Part I,1967,33,,6.8,166,,0,0,0,0,0,0,1
23rd Psalm Branch: Part II,1978,31,,6.3,138,,0,0,0,0,0,0,1
23rd Psalm: Redemption,2011,72,1500000,3.8,13,,0,0,0,0,0,0,0
24,2001,44,35000000,7.1,193,,1,0,0,1,0,0,1
24,2002,91,,7.2,241,,0,0,0,1,0,0,0
24 7: Twenty Four Seven,1997,96,,7.1,2078,R,0,0,1,1,0,1,0
24 After,2013,23,,8.4,7,,0,0,0,1,0,1,1
24 Days in Brooks,2007,42,,8,8,,0,0,0,0,1,0,1
24 Exposures,2013,77,,4.2,415,,0,0,0,1,0,0,0
24 Films,1975,13,,7.6,16,,0,0,0,0,0,0,1
24 Horas de Sexo Explcito,1985,77,,6.7,38,,0,0,1,0,0,0,0
24 Horas de Sonho,1941,92,,6.8,5,,0,0,1,0,0,0,0
24 Hour Alert,1955,31,,6.1,46,,0,0,0,0,0,0,1
24 Hour Diner,2006,8,0,2.5,15,,0,0,1,0,0,0,1
24 Hour Love,2013,98,,3.6,93,,0,0,0,1,0,0,0
24 Hour Party People,2002,117,,7.4,26956,R,0,0,1,1,0,0,0
24 Hours,1931,66,,7,188,,0,0,0,1,0,0,0
24 Hours,2002,2,,5.4,16,,0,0,0,0,0,0,1
24 Hours,2015,96,2000000,3.5,464,,1,0,0,0,0,0,0
24 Hours - One Team. One Target.,2011,104,,9.1,39,,1,0,0,0,1,0,0
24 Hours Movie,2014,90,700000,5,26,,0,0,0,1,0,0,0
24 Hours at the South Street Diner,2012,25,,9.6,8,,0,0,0,0,1,0,1
24 Hours in 70 Minutes,2012,70,,9.3,7,,1,0,0,0,1,0,0
24 Hours in Las Vegas,2011,80,,5.6,7,,1,0,0,1,0,0,0
24 Hours in London,2000,90,,3.6,552,R,0,0,0,0,0,0,0
24 Hours of a Woman's Life,1952,75,,5.2,87,,0,0,0,1,0,1,0
24 Hours on Craigslist,2005,82,,6.4,394,,0,0,0,0,1,0,0
24 Hours to Kill,1965,88,,5.2,210,,0,0,0,1,0,0,0
24 Hours to Midnight,1985,91,,3.8,74,,1,0,0,0,0,0,0
24 Hrs,2010,95,,6.7,24,,1,0,0,0,0,0,0
24 Nights,1999,97,,6.5,299,,0,0,1,1,0,1,0
24 Stunden aus dem Leben einer Frau,1931,73,,6.7,9,,0,0,0,1,0,0,0
24 Wirklichkeiten in der Sekunde,2005,58,,6,81,,0,0,0,0,1,0,0
24 Wochen,2016,103,,7.4,131,,0,0,0,1,0,0,0
24 chasa,2000,86,,6,140,,0,0,0,1,0,0,0
24 chasa dazhd,1982,86,,7.9,37,,0,0,0,1,0,0,0
24 cines por segundo: Sbanas blancas,2013,61,,7.4,5,,0,0,0,0,1,0,0
24 cuadros de terror,2008,90,1000000,5.2,37,R,0,0,0,0,0,0,0
24 galeti, 7 soareci, 18 ani,2011,42,,0,34.5,,0,0,0,0,0
24 godziny Jadwigi L.,1967,14,,7.7,6,,0,0,0,0,1,0,1
24 heures de la vie d'un clown,1946,18,,6.6,332,,0,0,0,0,0,0,1
24 heures de la vie d'une femme,2002,107,,6.3,321,,0,0,0,1,0,0,0
24 heures ou plus...,1977,114,,8.1,44,,0,0,0,0,1,0,0
24 horas (algo est por explotar),1997,79,,5.5,23,,0,0,1,1,0,0,0
24 horas con Lucia,2013,15,,7.1,11,,0,0,1,0,0,0,1
24 horas de placer,1969,95,,7.6,30,,0,0,1,0,0,0,0
24 horas en la vida de una mujer,1944,90,,4.8,5,,0,0,0,1,0,0,0
24 instantes,2004,7,,6.9,19,,0,0,1,0,0,0,1
24 jours,2014,108,,6.1,413,,0,0,0,1,0,0,0
24 mesures,2007,85,,5.1,137,,0,0,0,1,0,0,0
24 ore di terrore,1964,86,,5.2,27,,0,0,0,0,0,0,0
24 sata,2002,75,,7.8,72,,0,0,0,1,0,0,0
24 timer,1951,91,,7.1,12,,0,0,0,0,0,0,0
24-25 ne vozvrashchaetsya,1968,89,,6.3,25,,0,0,0,0,0,0,0
24-Seven,1999,8,,6.5,55,,0,0,1,0,0,0,1
24/24,2001,11,,5.2,29,,0,0,0,0,0,0,1
24-Jul,2005,12,,6,9,,0,0,1,0,0,0,1
24-Jul,2006,14,,9.2,6,,0,0,0,0,0,0,1
24/7 in Love,2012,130,,7.1,91,,0,0,1,1,0,1,0
24/7/365: The Evolution of Emergency Medicine,2013,63,,9.5,8,,0,0,0,1,1,0,0
24/7: The Passion of Life,2005,140,,4.3,134,,0,0,0,1,0,0,0
240 minut v Solingenu,1995,240,,7.9,7,,0,0,0,0,0,0,0
2424,2002,97,5700000,5,98,,1,0,1,0,0,0,0
245 Days,1989,5,,5.6,10,,0,0,0,0,0,0,1
247 Degrees North,2011,6,,8.1,11,,0,0,0,0,0,0,1
247F,2011,88,650000,5,4232,R,0,0,0,0,0,0,0
2499 antapan krong muang,1997,110,,7.2,189,,1,0,0,0,0,0,0
24fps,2000,6,,3.9,22,,0,0,0,0,0,0,1
24h Marrakech,2010,100,,7.9,8,,0,0,0,1,0,0,0
24me chasseurs alpins: leon de boxe,1897,1,,5.3,89,,0,0,0,0,1,0,1
25,2014,102,,6.6,5,,0,0,0,0,0,0,0
25-Apr,2015,85,,7.7,48,,0,1,0,0,1,0,0
25 Cent,2008,11,,6.1,22,,0,0,1,0,0,0,1
25 Cent Preview,2007,90,,8.2,6,,0,0,0,1,0,0,0
25 Cents for Love,2011,7,,6.7,10,,0,0,1,0,0,1,1
25 Hill,2011,108,1000000,6.1,154,,0,0,0,1,0,0,0
25 Kids and a Dad,2003,90,,6.8,25,,0,0,0,0,0,0,0
25 Watts,2001,94,200000,7.1,1248,,0,0,1,1,0,0,0
25 Ways to Die,2003,8,,5.8,25,,0,1,1,0,0,0,1
25 Ways to Quit Smoking,1989,5,,6.9,628,,0,1,1,0,0,0,1
25 Years of Improv Comedy,2005,91,,6,7,,0,0,0,0,0,0,0
25 aos, madres de la Plaza de Mayo,2002,30,,5.6,0,,0,0,0,0,1,0
25 de Abril - Uma Aventura Para a Demokracya,2000,16,,7.1,15,,0,0,0,0,1,0,1
25 degrs en hiver,2004,90,,6.9,326,,0,0,1,1,0,0,0
25 kilates,2008,86,,6.3,350,,0,0,0,0,0,0,0
25 to Life,2004,13,1000,6.1,24,,0,0,0,0,1,0,1
25 to Life,2012,87,,6.6,22,,0,0,0,0,1,0,0
25 to Life: Ice T Presents,2008,80,,8.9,12,,0,0,0,0,1,0,0
25-e - pervyy den,1968,8,,6.3,142,,0,1,0,0,0,0,1
250 grammaa - radioaktiivinen testamentti,1983,53,,3.3,18,,0,0,0,1,0,0,0
2508 pit krom jap taai,2004,80,,4.9,31,,1,0,0,0,0,0,0
252: Seizonsha ari,2008,128,,5.8,194,,1,0,0,1,0,0,0
256 Steps,2012,5,,2.6,7,,0,0,0,1,0,0,1
25Gs,2008,76,,6.1,14,,0,0,0,1,0,1,0
25th Hour,2002,108,15000000,7.7,149406,R,0,0,0,1,0,0,0
25th of February,2006,11,,4.7,10,,0,0,0,0,0,0,1
26,2005,12,15000,3.9,12,,1,0,0,0,0,0,1
26 Happiness Road,2010,88,,6.6,7,,0,0,0,1,0,0,0
26 Summer Street,1996,17,,7.5,26,,0,0,0,0,0,0,1
26 Things to Do Instead of Having Sex,2006,5,,3,23,,0,0,0,0,0,0,1
26 Years,2011,15,,7.3,7,,0,0,0,1,0,0,1
26 nyeon,2012,135,,6.5,263,,0,0,0,1,0,0,0
27,2010,14,,7.4,14,,0,0,1,1,0,0,1
27 Down,1974,115,,7.9,57,,0,0,0,1,0,0,0
27 Dresses,2008,111,30000000,6.1,124304,PG-13,0,0,1,0,0,1,0
27 Missing Kisses,2000,98,,6.8,1202,,0,0,1,1,0,1,0
27 Scenes About Jorgen Leth,2008,73,,6.8,5,,0,0,0,0,1,0,0
27 horas,1986,81,,6.6,181,,0,0,0,0,0,0,0
27 horas con la muerte,1982,113,,6.1,20,,0,0,0,1,0,0,0
27 jangmi,1992,107,,5.6,5,,0,0,0,0,0,0,0
27 rue de la Paix,1936,100,,6.1,31,,0,0,0,0,0,0,0
27, Memory Lane,2014,98,,7.9,64.5,,0,0,0,1,0,1
27,000 Days,2007,11,,6.9,34.5,,0,0,0,1,0,0
27A,1974,86,,6.4,21,,0,0,0,1,0,0,0
27C: Loaf Rock,2013,100,,4.6,9,,0,0,0,1,0,1,0
28,1996,12,,7,5,,0,0,0,0,0,0,1
28,2008,14,,7.6,18,,0,0,0,0,0,0,1
28,2014,98,,6.9,9,,0,0,0,1,0,0,0
28 Days,2000,103,43000000,6,34566,PG-13,0,0,1,1,0,0,0
28 Days Later...,2002,113,8000000,7.6,296713,R,0,0,0,1,0,0,0
28 Days to Vegas,2008,60,100000,9.2,11,,0,0,0,0,1,0,0
28 Hotel Rooms,2012,82,,5.8,2328,,0,0,0,1,0,1,0
28 Hours Later,2005,14,,6.5,23,,0,0,1,0,0,0,1
28 Hours Later: The Zombie Movie,2010,49,6478,5.7,98,,1,0,1,0,0,0,0
28 Weeks Later,2007,100,15000000,7,211876,R,0,0,0,1,0,0,0
28 Weeks Later: 28 Seconds Later,2007,3,,5.5,10,,0,0,0,0,0,0,1
28 Weeks Later: 77 Days Later,2007,5,,6.5,11,,0,0,0,0,0,0,1
28 Weeks Later: Saturday Afternoon,2007,2,,5.6,9,,0,0,0,0,0,0,1
28 Weeks Later: Welcome to London,2007,3,,6.1,7,,0,0,0,0,0,0,1
28 Years Later,2011,2,,6.1,33,,0,0,1,0,0,0,1
28 minuti per 3 milioni di dollari,1967,90,,6,20,,0,0,0,0,0,0,0
28/73: Zeitaufnahme(n),1973,3,,5.5,12,,0,0,0,0,0,0,1
28i Oktovriou, ora 5,30,1975,102,,4.5,4.5,,0,0,0,1,0
29 Acacia Avenue,1945,83,,7,27,,0,0,1,1,0,0,0
29 Februari,2012,104,,6.9,41,,0,0,0,1,0,0,0
29 Palms,2002,93,5000000,4.9,1550,R,0,0,1,1,0,0,0
29 Reasons to Run,2006,99,100000,6.3,138,,0,0,1,0,0,0,0
29 and Holding,2004,89,,8.8,16,,0,0,1,0,0,0,0
29 kilometr,2012,89,40000,7.8,25,,0,0,0,1,0,0,0
29. novembar 1943,1953,20,,7.4,7,,0,0,0,0,1,0,1
29000 Wishes. 1 Regret.,2012,89,12000,6.7,13,,0,0,0,1,0,0,0
29th Street,1991,101,,7.2,2023,R,0,0,1,1,0,0,0
29th and Gay,2005,84,25000,5.2,272,,0,0,1,0,0,0,0
2: Voodoo Academy,2012,75,1000000,4.4,39,,0,0,0,0,0,0,0
2:13,2009,96,3500000,4.8,962,,0,0,0,0,0,0,0
2:20,2011,2,,6.3,19,,0,0,1,0,0,1,1
2:22,2008,104,,5.3,1096,R,0,0,0,1,0,0,0
2:22,2009,9,,7.5,24,,0,0,0,0,0,0,1
2:37,2006,95,,6.9,6133,,0,0,0,1,0,0,0
2AM: The Smiling Man,2013,4,,6.4,291,,0,0,0,0,0,0,1
2B or Not 2B,2011,15,,6.3,10,,0,1,0,0,0,0,1
2BPerfectlyHonest,2004,87,1500000,4.7,191,R,0,0,1,1,0,0,0
2D or not 2D,2003,17,,6.6,52,,0,0,0,0,0,0,1
2Fik: Reinterpreting Bukovac,2014,58,,9.4,14,,0,0,0,0,1,0,0
2LDK,2003,66,,7,2986,,0,0,1,1,0,0,0
2Late,2014,17,,7,30,,0,0,0,1,0,0,1
2ND Take,2011,103,600000,5.9,118,,0,0,0,1,0,0,0
2Survive,2015,94,,5.2,132,,0,0,0,1,0,0,0
2by4,1998,90,,5.1,226,,0,0,0,1,0,0,0
2k3,2009,84,,7.4,10,,0,0,0,1,0,0,0
2n: A Story of the Power of Numbers,1961,2,,6.9,9,,0,1,0,0,0,0,1
2nd Serve,2012,86,,6.1,59,,0,0,1,0,0,0,0
2pic,2006,15,,7.9,9,,0,0,0,0,0,0,1
2wks, 1yr,2002,104,,7.9,34.5,,0,0,0,0,0,0
2x2 nha 5,1954,110,,7.5,80,,0,0,1,0,0,0,0
3,1971,86,,3.3,16,,0,0,0,1,0,0,0
3,1995,90,,5.4,5,,0,0,0,0,0,0,0
3,1996,84,,3.7,43,,0,0,1,0,0,0,0
3,2006,3,,6.8,16,,0,0,0,1,0,0,1
3,2010,119,,6.8,4203,,0,0,1,1,0,1,0
3,2012,10,,3.7,21,,0,0,1,0,0,0,1
3 (trtnet a szerelemrl),2007,11,,6.2,8,,0,0,0,0,0,1,1
3 1/2,2009,9,,8.9,8,,1,0,1,1,0,1,1
3 1/2,2012,8,,2.8,5,,0,0,1,0,0,0,1
3 A.M.,1975,86,,7.1,98,,0,0,0,1,0,0,0
3 A.M.,2001,92,,5.9,1086,,0,0,0,0,0,1,0
3 A.M. 3D,2012,96,,5.7,441,,0,0,0,0,0,0,0
3:00 AM,2003,22,32000,6.9,40,,0,0,0,0,0,0,1
3 AM: A Paranormal Experience,2014,103,,4,175,,0,0,0,0,0,1,0
3:00 AM,2011,11,,7,7,,0,0,0,0,0,0,1
3 Amricas,2007,98,,6.1,51,,0,0,0,1,0,0,0
3 Backyards,2010,88,300000,5.2,554,R,0,0,0,1,0,0,0
3 Bad Men,1926,122,,7.6,611,,0,0,0,0,0,1,0
3 Bahadur,2015,94,,8,383,,0,1,0,0,0,0,0
3 Bellezas,2014,97,,6.7,140,,0,0,1,0,0,0,0
3 Billion and Counting,2010,108,1000000,8,15,,0,0,0,0,1,0,0
3 Blind Mice,2003,89,,4.3,1014,R,0,0,0,0,0,0,0
3 Blind Saints,2011,89,,5.5,191,PG,0,0,1,0,0,0,0
3 Chinesen mit dem Kontrabass,2000,88,,6.9,248,,0,0,1,0,0,0,0
3 Dana,2011,81,,8.8,15,,0,0,0,0,1,0,0
3 Dancers,2007,4,,5.3,6,,0,0,0,0,1,0,1
3 Day Test,2012,81,850000,4.6,241,,0,0,1,0,0,0,0
3 Days,1984,30,,5.2,16,,0,0,0,0,0,0,1
3 Days Blind,2009,103,,6.5,14,,0,0,1,0,0,0,0
3 Days in L.A.,2009,90,65000,5.9,9,,0,0,0,1,0,0,0
3 Days of Darkness,2007,82,,4.3,21,,0,0,0,0,0,0,0
3 Days of Normal,2012,82,,5.5,337,,0,0,1,0,0,0,0
